node	x	y	z
157	1.43193	0.6096	19.812
158	2.14789	4.963E-16	19.812
159	2.86385	-0.6096	19.812
160	2.86385	0	19.812
161	2.86385	0.6096	19.812
162	3.95288	-0.6096	19.812
163	3.95288	0.6096	19.812
164	5.68484	-0.3048	19.812
165	5.68484	0.29044	19.812
166	5.68484	0.3048	19.812
167	5.70548	0.30117	19.812
168	7.4168	7.214E-16	19.812
169	-4.14655	-6.768E-16	20.4978
170	-3.40836	-0.6096	20.4978
171	-3.40836	0.6096	20.4978
172	3.40836	-0.6096	20.4978
173	3.40836	0.6096	20.4978
174	4.14655	6.768E-16	20.4978
175	-5.70548	-0.33909	20.57494
176	-5.70548	0.33909	20.57494
177	5.68484	-0.34318	20.58414
178	5.68484	0.34318	20.58414
179	-4.34023	-0.6096	21.1836
180	-4.34023	0.6096	21.1836
181	-3.60204	5.414E-16	21.1836
182	-2.86385	-0.6096	21.1836
183	-2.86385	0.6096	21.1836
184	-1.43193	-0.6096	21.1836
185	-1.43193	0.6096	21.1836
186	-5.41E-16	-0.6096	21.1836
187	-7.214E-16	0.6096	21.1836
188	1.43193	-0.6096	21.1836
189	1.43193	0.6096	21.1836
190	2.86385	-0.6096	21.1836
191	2.86385	0.6096	21.1836
192	3.60204	5.414E-16	21.1836
193	4.34023	-0.6096	21.1836
194	4.34023	0.6096	21.1836
195	-4.5974	4.783E-15	22.098
196	4.5974	4.783E-15	22.098
